tot_people,workers_over_spectators,nb_of_spectators,nb_of_workers,max_perception_distance,speed,speed_ratio,leader_frac,follower_frac,tot_victims,tot_saved_people,tot_spectators_victims,tot_spectators_saved,tot_workers_victims,tot_workers_saved,tot_leaders_victims,tot_leaders_saved,tot_followers_victims,tot_followers_saved,tot_panic_victims,tot_panic_saved
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,26,338,25,305,1,33,2,36,21,229,2,40
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,18,402,18,363,0,39,2,43,16,270,0,50
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,78,121,74,108,4,13,7,9,58,92,9,7
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,67,115,60,103,7,12,5,14,40,78,15,11
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,28,149,28,128,0,21,6,12,20,99,2,17
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,16,181,15,162,1,19,6,19,7,118,2,25
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,33,156,27,144,6,12,5,14,18,113,4,17
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,26,157,24,135,2,22,2,13,20,97,2,25
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,97,199,89,178,8,21,9,23,71,135,9,20
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,35,246,32,223,3,23,3,26,23,170,6,27
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,6,298,6,265,0,33,5,26,0,201,1,38
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,104,326,97,296,7,30,7,37,74,215,16,44
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,42,119,39,103,3,16,4,8,30,80,5,15
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,3,177,3,162,0,15,0,18,3,129,0,15
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,15,278,13,255,2,23,1,26,10,194,2,35
500,0.1,454,46,200.0,0.08333333333333333,2.0,0.1,0.75,0,353,0,320,0,33,0,41,0,231,0,48
