tot_people,workers_over_spectators,nb_of_spectators,nb_of_workers,min_perception_distance,max_perception_distance,speed,speed_ratio,leader_frac,follower_frac,tot_victims,tot_saved_people,tot_spectators_victims,tot_spectators_saved,tot_workers_victims,tot_workers_saved,tot_leaders_victims,tot_leaders_saved,tot_followers_victims,tot_followers_saved,tot_panic_victims,tot_panic_saved
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,81,227,73,208,8,19,8,27,54,154,11,27
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,72,220,64,196,8,24,12,24,39,141,13,31
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,23,222,22,200,1,22,0,24,16,145,6,31
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,81,355,76,321,5,34,4,35,57,247,15,39
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,126,253,118,224,8,29,10,21,89,173,19,30
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,68,299,64,272,4,27,7,28,45,213,12,31
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,57,276,53,244,4,32,3,26,43,199,7,19
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,44,276,38,253,6,23,3,29,31,197,4,27
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,48,203,45,181,3,22,7,17,32,140,6,24
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,33,357,29,326,4,31,0,47,26,242,3,37
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,15,219,12,197,3,22,1,15,11,157,0,25
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,77,278,69,253,8,25,6,34,53,187,10,32
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,31,291,29,260,2,31,2,30,21,196,6,34
500,0.1,454,46,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,58,151,51,131,7,20,6,16,36,103,9,12
